model_name,epoch,train_loss,train_acc,val_loss,val_acc,test_acc,test_precision,test_recall,test_specificity,test_f1,test_auc
efficientnet_b0,1,0.16047126351872837,93.42407975460122,0.4586288630962372,75.0,83.49358974358975,85.98905334566757,83.49358974358975,58.119658119658126,82.32600229095075,95.89579224194608
efficientnet_b0,2,0.10561440715086332,96.37653374233129,0.2606683373451233,93.75,93.58974358974359,93.5762885222573,93.58974358974359,89.74358974358975,93.56654160229529,97.5904010519395
efficientnet_b0,3,0.08730735184972609,96.72162576687117,0.28307008743286133,87.5,88.62179487179486,89.87887765772045,88.62179487179486,71.36752136752136,88.16198761038618,97.99364453210607
efficientnet_b0,4,0.0731626535155896,97.64187116564418,0.1444123387336731,100.0,94.55128205128204,94.59635416666666,94.55128205128204,94.01709401709401,94.56464854610277,98.38045145737453
efficientnet_b0,5,0.06651249585014002,97.92944785276073,0.09339121729135513,100.0,92.62820512820514,92.71959150027477,92.62820512820514,85.47008547008546,92.5474989655905,97.78873548104316
efficientnet_b0,6,0.05663380704543759,97.96779141104294,0.08569794148206711,100.0,92.94871794871796,93.16091420077115,92.94871794871796,84.61538461538461,92.84653465346534,98.00350646504494
efficientnet_b0,7,0.0503328703056401,98.2170245398773,0.3426986038684845,75.0,91.34615384615384,92.03469646691393,91.34615384615384,78.63247863247864,91.11546538448297,98.59193513039666
efficientnet_b0,8,0.04318047798920938,98.40874233128834,0.036067474633455276,100.0,89.26282051282051,89.6434668141327,89.26282051282051,76.92307692307693,89.01543784782938,97.47918036379575
efficientnet_b0,9,0.04262073415871124,98.61963190184049,0.1712949126958847,87.5,89.74358974358975,89.70522052205222,89.74358974358975,83.33333333333334,89.67587301235034,96.16918693841771
efficientnet_b0,10,0.034815055860481094,98.84969325153374,0.05954960733652115,100.0,93.10897435897436,93.09398496240601,93.10897435897436,88.88888888888889,93.08071771167276,97.89283366206443
